edep,t,x,y,z,pid
1.28846e-08,446101,6027.74,325.808,7909.45,2212
4.00247e-08,439545,6029.88,310.906,7911.75,2212
1.36787e-08,188153,6014.89,-250.336,7968.71,2212
7.09795e-09,165327,6047.28,-275.695,7964.32,2212
5.2335e-08,85822.7,6157.16,-333.429,7937.43,2212
8.25495e-08,69373.7,6163.65,-334.041,7907.57,2212
1.68406e-08,68338.5,6162.2,-332.815,7905.32,2212
8.84169e-08,41779.6,6149.82,-327.531,7898.77,2212
2.97751e-08,25542,6116.93,-394.475,7874.4,1.00006e+09
5.3624e-08,9288.65,6128.86,-325.953,7899.69,2212
9.67887e-08,8096.77,6126.71,-321.657,7899.1,1.00006e+09
2.0241e-07,7967.1,6126.7,-322.283,7898.77,2212
2.13437e-06,7623.77,6127.05,-324.995,7899.31,2212
1.21602e-05,6884.22,6113.76,-330.976,7906.09,2212
1.25885e-05,6841.48,6111.75,-330.242,7905.37,2212
6.73602e-05,6696.73,6107.45,-320.976,7903.25,2212
0.00014802,6641.78,6101.9,-320.205,7898.44,2212
6.84873e-05,5456.22,6212.13,-257.595,7964.34,2212
0.00945082,5452.39,6212.28,-257.036,7965.08,2212
0.00117453,5449.47,6215.79,-255.456,7964.05,2212
0.000122828,5448.33,6216.92,-254.556,7963.25,1.00006e+09
0.00205324,5446.43,6219.36,-253.857,7962.16,1.00006e+09
0.0267336,5426.64,6230.34,-248.386,7991,2212
4.95119e-07,6448.42,7763.77,-278.875,7345.91,2212
4.63242e-06,5618.02,7755.67,-281.129,7346.29,2212
3.40951e-06,5494.57,7753.77,-280.537,7349.6,2212
5.43497e-06,1235.46,7722.45,-366.638,7467.53,2212
7.99337e-05,1017.32,7719.85,-373.486,7476.14,2212
0.000130724,491.314,7759.83,-431.291,7480.76,2212
8.41096e-05,432.679,7771.56,-432.496,7483.67,2212
3.18115e-05,422.029,7773.37,-432.637,7485.51,2212
4.69175e-06,409.876,7774.85,-433.261,7488.17,1.00006e+09
0.000112721,399.088,7776.89,-432.888,7490.01,2212
0.00154338,396.405,7777.43,-432.421,7490.35,2212
0.000470028,389.336,7779.73,-429.685,7487.83,1.00008e+09
0.000134419,379.651,7778.33,-429.385,7494.34,1.00006e+09
0.000345525,379.472,7778.28,-429.295,7494.41,2212
0.0449488,370.453,7777.18,-425.521,7499.93,2212
0.00327533,350.348,7753.62,-373.735,7478.37,2212
0.287666,347.78,7749.53,-368.174,7474.26,2212
0.336533,347.431,7750.1,-368.202,7471.52,2212
0.0482506,342.501,7732.5,-398.17,7427.62,2212
5.25546e-08,1.21554e+06,6227.3,-163.741,7282.29,2212
1.43642e-08,1.20162e+06,6228.66,-170.96,7276.53,2212
3.66671e-08,1.20047e+06,6230.4,-171.407,7275.7,1.00006e+09
8.93217e-09,1.18153e+06,6244.39,-148.347,7268,2212
1.20391e-07,40562.8,5996.25,301.147,8004.91,2212
3.83712e-08,39002.3,5989.87,300.476,8005.67,2212
4.18426e-07,38562.6,5988.13,299.936,8004.7,2212
9.93663e-08,38438.8,5988.1,299.565,8003.54,2212
6.9595e-07,33583.9,5971.51,269.441,7965.33,2212
2.17736e-06,32838.8,5968.32,259.574,7961.42,2212
1.5835e-06,20765.4,5906.57,140.787,8031.26,2212
1.627e-06,20582.4,5903.95,139.775,8036.75,1.00006e+09
6.98615e-06,20530.5,5903.43,137.952,8036.26,2212
7.36476e-07,20487.2,5903.51,136.677,8034.38,2212
4.63077e-06,18601.2,5885.64,120.014,8089.42,1.00006e+09
1.79811e-05,2823.42,5812.68,-522.554,7691.67,2212
1.4427e-05,2778.61,5816.65,-525.099,7691.89,2212
2.16097e-05,2744.92,5819.49,-527.372,7690.32,1.00006e+09
4.7312e-05,2742.05,5819.26,-527.434,7690.62,2212
2.31341e-05,2712.29,5815.71,-530.25,7692.46,2212
6.59463e-05,2698.24,5814.42,-532.328,7692.91,2212
0.000199613,2685.47,5814.28,-534.997,7692.7,2212
0.000463933,2674.06,5812.2,-537.354,7693.61,2212
0.0009921,630.196,5914.22,-383.491,7913.68,2212
0.0192957,624.688,5915.56,-380.687,7911.51,2212
0.0126568,624.133,5914.71,-380.216,7910.93,2212
0.0908082,621.962,5913.21,-378.616,7905.81,2212
0.000363547,9772.27,7205.54,255.019,7984.29,2212
0.000817916,9764.18,7202.09,257.64,7982.96,2212
0.544552,236.858,7726.4,464.805,7640.92,2212
0.572181,230.915,7724.27,411.612,7610.21,2212
0.457897,230.887,7724.19,411.505,7609.81,2212
0.000211487,6547.02,7476.36,-150.874,8098.14,2212
0.000486577,6546.77,7476.33,-150.779,8098.13,2212
0.00144704,6540.52,7474.31,-148.587,8099.15,2212
0.00349287,1736.2,7690.24,-347.73,7928.4,2212
0.000451539,1717.43,7691.82,-343.747,7950.27,1.00008e+09
0.00100937,1714.8,7691.59,-340.766,7951.48,1.00008e+09
0.00626584,1713.17,7690.54,-340.082,7949.78,2212
0.00512942,1690.62,7691.8,-311.796,7923.96,2212
0.00278601,1687.02,7695.48,-307.902,7919.32,2212
1.37749e-05,66577.7,6167.83,-359.09,7353.1,1.00006e+09
4.08975e-06,66545.8,6170.12,-361.71,7353.54,2212
0.00969165,2640.96,6043.47,165.058,8015.87,2212
5.79006,2640.19,6048.2,169.616,8016.72,2212
1.30331,2636.81,6008.02,259.565,7956.17,1.00006e+09
0.00795449,5566.03,6286.92,-393.745,7900.26,2212
0.00141943,5564.98,6286.59,-393.413,7901.66,2212
0.0059893,5560.44,6283.17,-390.931,7907.05,2212
0.000858819,5560.29,6283.08,-390.984,7907.3,2212
8.99e-06,64.8247,7252.48,324.56,7954.31,22
0.00029101,64.9562,7271.71,312.898,7930.59,22
0.131829,64.9576,7271.87,312.792,7930.41,11
0.3054,64.8494,7252.71,324.81,7954.58,11
1.756e-05,3828.3,7630.6,430.832,7771.53,22
2.923e-05,3828.56,7664.59,373.097,7814.85,22
0.00822834,3828.57,7664.7,372.916,7814.99,11
0.0052422,3828.31,7630.65,430.612,7771.42,11
1.13857e-05,1218.47,7221.13,-429.492,7484.71,1.00006e+09
0.000438556,1210.84,7222.16,-427.59,7484.76,2212
0.00048311,1179.19,7220.9,-416.921,7491.76,2212
0.0063747,1161.96,7215.95,-413.176,7497.9,2212
0.00380707,1139.6,7219.32,-386.334,7500.28,2212
0.248168,1131.33,7220.43,-375.779,7494.12,2212
1.94323,546.274,7874.79,308.712,7285.4,2212
1.04683e-08,54851.3,6114.83,395.239,7715.67,2212
1.01793e-07,33750.1,6094.71,403.631,7693.31,2212
4.10025e-08,31969.6,6095.66,401.564,7687.27,2212
1.84888e-08,28921.3,6096.47,400.753,7675.59,2212
9.03082e-08,27897,6096.08,401.984,7672,2212
2.07629e-07,27397.4,6097.43,402.319,7672.45,2212
1.28686e-07,27254.7,6096.84,402.878,7672.88,2212
7.72651e-08,5274.46,5952.19,426.01,7761.86,2212
3.88419e-06,5119.35,5951,425.501,7762.24,2212
3.65151e-07,4253.51,5932.98,437.621,7750.61,1.00006e+09
1.88479e-07,4002.54,5932.92,440.745,7743.97,1.00006e+09
7.5597e-06,3991.93,5932.94,440.794,7743.66,2212
1.81105e-05,3694.64,5922.12,441.773,7734.35,2212
2.08867e-05,3550.86,5921.64,441.847,7734.89,2212
7.0541e-05,2568.55,5998.57,399.859,7786.9,2212
5.41066e-05,2538.22,6003.25,400.214,7786.38,2212
4.14973e-05,2133.3,6069.77,411.481,7819.82,2212
2.63931e-05,2112.38,6074,410.801,7820.3,1.00006e+09
0.00017652,1371.31,6123.85,361.978,7862.2,2212
0.000244667,1340.63,6131.82,365.64,7861.75,2212
0.00102991,1190.86,6170.92,387.751,7891.27,2212
0.121217,1189.28,6171.5,388.402,7891.05,2212
0.0212264,1076.44,6100.53,439.679,7552.38,2212
0.0275332,1076.23,6101.37,439.395,7551.71,1.00006e+09
0.0174637,1073.99,6110.4,443.067,7560.75,2212
0.0280306,1071.2,6123.46,442.88,7572.09,1.00006e+09
0.084601,1068.28,6127.38,461.637,7574.52,1.00006e+09
5.90194e-08,349482,6168.76,160.704,8017.68,2212
8.90909e-08,204659,6029.72,221.433,7988.97,2212
1.80895e-07,10880,6111.28,-184.205,7290.04,2212
6.98479e-08,9834.56,6109.72,-188.494,7288.42,2212
2.14618e-07,6497.93,6100.85,-193.833,7279.25,2212
4.6399e-07,6484.96,6100.78,-193.831,7279.21,2212
2.31471e-07,5236.69,6087.37,-194.931,7282.22,1.00006e+09
4.09559e-05,4593.13,6086.86,-190.203,7275.62,2212
1.43913e-05,4584.76,6086.43,-190.674,7275.23,2212
0.000920355,4329.21,6082.13,-203.751,7252.61,2212
0.000271642,4318.3,6082.84,-208.285,7253.69,2212
0.000472459,4311.23,6082.75,-210.945,7255.88,2212
0.00151124,4307.22,6081.51,-212.264,7257.31,2212
0.00223625,4305.75,6081.42,-212.421,7258.46,2212
0.0201151,4273.85,6092.46,-199.965,7286.5,2212
0.0304841,4264.59,6082.18,-204.47,7303.64,2212
3.47707e-07,22761.1,7386.79,409.573,7863.85,2212
4.60447e-07,22422.2,7387.33,407.056,7862.23,2212
1.2557e-08,18253,7418.01,364.286,7861.71,2212
1.72125e-07,18237.5,7418.14,364.143,7861.71,1.00006e+09
1.63923e-08,17930.3,7414.91,361.844,7860.26,2212
1.00165e-07,16976.4,7405.55,354.222,7855.32,1.00006e+09
2.39893e-07,16897.1,7405.83,353.149,7855.48,2212
4.94691e-08,16855.2,7406.3,352.72,7855.59,2212
0.000138442,15819,7420.11,344.999,7857.9,2212
5.70249e-06,15079.2,7467.92,373.962,7818.2,2212
1.76967e-05,15077.8,7468.07,374.09,7818.34,1.00006e+09
0.000252542,14681.5,7439.29,376.869,7882.49,2212
0.000186468,14658,7436.83,371.908,7886.12,2212
0.000227105,14545.3,7411.06,343.683,7888.5,2212
0.000172152,14185.1,7370.89,293.014,7941.49,1.00006e+09
1.61193e-06,14144.2,7356.88,281.726,7942.7,2212
8.01e-07,194608,5834,252.04,8066.75,1.00006e+09
8.58024e-07,194537,5835.35,251.557,8067.58,1.00006e+09
2.01715e-07,194340,5831.6,248.497,8065.48,1.00006e+09
0.00029101,65.1739,7206.21,-321.455,7308.76,22
0.00029101,66.3273,7539.82,-284.011,7281.35,22
0.0307502,66.346,7539.96,-283.799,7281.38,11
0.000311475,65.2016,7206.45,-321.48,7308.72,11
1.756e-05,3392.15,7325.36,324.208,7978.12,22
0.639181,3392.22,7323.46,323.652,7977.98,11
0.435938,3392.24,7321.2,322.444,7978.55,11
0.285772,3392.24,7320.25,321.62,7979.22,11
0.00133075,3392.07,7368.35,325.534,7974.04,1.00001e+09
6.19417e-08,2918.25,7367.53,326.532,7976.48,1.00006e+09
6.39487e-08,2153.88,7366.58,323.213,7979.86,1.00006e+09
7.07956e-06,1721.91,7368.16,324.963,7978,2212
2.04761e-05,1621.09,7371.1,324.952,7980.34,2212
6.54897e-05,1552.15,7374.88,328.245,7980.1,2212
2.27906e-05,1540.72,7375.7,328.453,7978.83,2212
7.18181e-05,1473.42,7376.84,328.747,7968.89,2212
0.000210601,1426.9,7376.73,323.519,7961.79,2212
1.44529e-06,1400.49,7373.52,317.153,7960.28,1.00006e+09
0.000726086,1291.38,7365.97,288.827,7953.16,2212
0.000131635,1280.75,7363.64,285.556,7956.02,1.00006e+09
0.000370117,1263.55,7361.14,278.977,7951.37,2212
0.00123461,1262.93,7361.08,278.826,7951.06,2212
0.00120796,1259.81,7359.77,279.141,7949.19,2212
0.0147299,1256.19,7357.68,281.018,7947.66,2212
0.0701409,1256.09,7357.74,281.096,7947.5,2212
0.0344604,1230.08,7462.8,297.78,7933.84,2212
0.0853323,1219.75,7504.32,321.99,7948.25,2212
0.00905118,1219.15,7505.91,325.418,7948.04,2212
0.0198651,1205.24,7543.91,377.795,7919.14,2212
0.148854,1189.64,7639.94,347.089,7878.25,2212
0.106477,1168.07,7817.53,406.757,7850.02,1.00006e+09
0.00129774,512635,6192.05,165.356,7276.13,1.00001e+09
8.26716e-10,318671,6110.38,-392.005,7783.12,2212
3.75338e-08,309644,6097.55,-417.313,7797.19,2212
4.77246e-08,309289,6096.79,-418.442,7797.43,1.00006e+09
1.59496e-08,304958,6091.17,-420.373,7812.6,2212
4.63643e-09,302931,6086.98,-421.012,7817.67,2212
4.35981e-08,302029,6084.92,-421.355,7819.49,2212
4.16098e-08,299715,6081.68,-425.04,7823.68,2212
6.24339e-08,299550,6081.2,-424.923,7824.11,2212
3.69851e-08,298374,6079.09,-424.625,7824.11,2212
6.89828e-08,297264,6076.81,-424.55,7823.77,2212
8.51923e-09,294675,6072.8,-428.034,7821.58,2212
4.15428e-08,288934,6070.43,-428.137,7811.09,2212
2.47812e-08,288903,6070.44,-428.098,7811.09,1.00006e+09
5.94855e-09,287555,6070.28,-429.081,7810.06,1.00006e+09
2.0207e-08,287259,6070.33,-429.381,7809.97,2212
1.70331e-08,283206,6075.91,-428.339,7804.19,2212
6.97722e-08,279812,6081.41,-430.928,7804.54,2212
1.01941e-08,279249,6081.74,-429.297,7803.18,2212
7.50663e-08,278529,6080.81,-428.433,7800.84,2212
2.46274e-08,276092,6072.38,-424.554,7795.67,1.00006e+09
7.46331e-08,275604,6073.65,-423.851,7794.22,2212
1.11783e-07,274856,6074.89,-422.447,7791.33,2212
7.0119e-08,266848,6088.94,-404.395,7758.95,2212
2.56816e-08,261910,6081.74,-389.537,7741.25,2212
